Data;MediaDiaria;Maxima;Minima;Media
01/02/1949;1;333,516;147,07;221,247
01/03/1949;1;205,693;85,757;136,087
01/04/1949;1;185,238;75,249;106,784
01/05/1949;1;136,431;58,819;87,149
01/06/1949;1;58,819;46,711;52,945
01/07/1949;1;46,711;38,28;42,544
01/08/1949;1;38,28;30,444;33,443
01/09/1949;1;29,199;23,249;26,62
01/10/1949;1;219,263;18,835;74,207
01/11/1949;1;114,013;25,573;49,956
01/12/1949;1;164,654;29,199;83,255
01/01/1950;1;273,975;45,266;108,885
01/02/1950;1;267,985;108,143;163,746
01/03/1950;1;227,572;85,757;144,595
01/04/1950;1;122,005;66,86;85,886
01/05/1950;1;75,249;43,837;52,253
01/06/1950;1;48,172;36,931;41,989
01/07/1950;1;36,931;30,444;33,721
01/08/1950;1;30,444;22,115;25,998
01/09/1950;1;22,115;18,835;20,532
01/10/1950;1;104,289;18,835;36,854
01/11/1950;1;301,588;26,763;126,182
01/12/1950;1;200,364;57,254;114,315
01/01/1951;1;418,342;98,599;187,996
01/02/1951;1;336,78;147,07;210,527
01/03/1951;1;320,589;136,431;192,569
01/04/1951;1;164,654;83,973;109,433
01/05/1951;1;112,045;70,175;82,198
01/06/1951;1;82,202;57,254;63,914
01/07/1951;1;58,819;46,711;50,893
01/08/1951;1;46,711;36,931;41,461
01/09/1951;1;36,931;29,199;32,504
01/10/1951;1;102,38;27,972;40,957
01/11/1951;1;192,476;22,115;47,847
01/12/1951;1;130,18;31,707;60,144
01/01/1952;1;366,732;39,645;118,916
01/02/1952;1;292,264;76,967;147,963
01/03/1952;1;323,801;108,143;170,743
01/04/1952;1;136,431;70,175;96,887
01/05/1952;1;75,249;51,139;58,845
01/06/1952;1;75,249;46,711;52,975
01/07/1952;1;46,711;35,6;40,048
01/08/1952;1;34,285;26,763;30,96
01/09/1952;1;39,645;23,249;29,214
01/10/1952;1;119,989;21,002;48,061
01/11/1952;1;314,203;31,707;72,708
01/12/1952;1;93,02;30,444;54,085
01/01/1953;1;83,973;22,115;51,851
01/02/1953;1;151,402;36,931;76,907
01/03/1953;1;340,057;36,931;118,13
01/04/1953;1;136,431;52,645;87,204
01/05/1953;1;52,645;38,28;44,457
01/06/1953;1;38,28;30,444;33,964
01/07/1953;1;34,285;26,763;29,938
01/08/1953;1;26,763;19,908;23,726
01/09/1953;1;49,648;18,835;25,458
01/10/1953;1;164,654;19,908;49,343
01/11/1953;1;108,143;24,401;52,24
01/12/1953;1;157,98;36,931;80,452
01/01/1954;1;136,431;26,763;58,09
01/02/1954;1;262,048;51,139;121,047
01/03/1954;1;89,363;32,987;53,748
01/04/1954;1;78,699;27,972;38,917
01/05/1954;1;108,143;32,987;52,475
01/06/1954;1;49,648;24,401;30,531
01/07/1954;1;24,401;17,782;20,855
01/08/1954;1;16,75;11,922;14,23
01/09/1954;1;11,922;11,025;11,294
01/10/1954;1;23,249;11,025;13,426
01/11/1954;1;76,967;11,025;28,73
01/12/1954;1;140,653;22,115;46,853
01/01/1955;1;513,581;30,444;109,443
01/02/1955;1;117,986;34,285;61,919
01/03/1955;1;124,032;38,28;73,754
01/04/1955;1;136,431;32,987;58,821
01/05/1955;1;39,645;23,249;27,799
01/06/1955;1;30,444;17,782;22,486
01/07/1955;1;17,782;11,922;14,828
01/08/1955;1;13,785;11,025;12,231
01/09/1955;1;19,908;14,752;17,222
01/10/1955;1;41,026;11,025;21,216
01/11/1955;1;57,254;11,922;28,274
01/12/1955;1;273,975;11,025;109,649
01/01/1956;1;122,005;29,199;51,748
01/02/1956;1;175,986;18,835;65,525
01/03/1956;1;499,584;42,424;99,342
01/04/1956;1;89,363;35,6;57,127
01/05/1956;1;149,23;30,444;67,661
01/06/1956;1;115,994;46,711;70,73
01/07/1956;1;58,819;35,6;41,335
01/08/1956;1;89,363;27,972;38,609
01/09/1956;1;55,703;21,002;29,896
01/10/1956;1;48,172;16,75;24,928
01/11/1956;1;106,21;21,002;47,212
01/12/1956;1;370,124;32,987;91,922
01/01/1957;1;208,379;78,699;126,683
01/02/1957;1;256,166;87,553;142,985
01/03/1957;1;224,788;78,699;121,772
01/04/1957;1;461,759;82,202;150,02
01/05/1957;1;124,032;61,993;81,752
01/06/1957;1;65,224;49,648;56,5
01/07/1957;1;96,727;42,424;56,908
01/08/1957;1;48,172;34,285;39,875
01/09/1957;1;61,993;31,707;38,109
01/10/1957;1;76,967;21,002;31,953
01/11/1957;1;130,18;27,972;53,333
01/12/1957;1;233,181;46,711;108,007
01/01/1958;1;1185,96;32,987;167,143
01/02/1958;1;189,924;39,645;93,55
01/03/1958;1;265,01;34,285;75,956
01/04/1958;1;136,431;41,026;65,648
01/05/1958;1;157,98;41,026;57,617
01/06/1958;1;58,819;51,139;54,751
01/07/1958;1;85,757;52,645;61,296
01/08/1958;1;52,645;38,28;45,064
01/09/1958;1;108,143;35,6;50,84
01/10/1958;1;93,02;38,28;52,183
01/11/1958;1;66,86;34,285;48,178
01/12/1958;1;162,419;29,199;79,785
01/01/1959;1;421,632;71,853;165,756
01/02/1959;1;175,986;122,005;152,098
01/03/1959;1;458,369;85,757;227,923
01/04/1959;1;180,592;82,202;111,567
