01/01/1954;330,318;89,805;149,742
01/02/1954;187,307;37,644;83,64
01/03/1954;191,787;23,395;68,304
01/04/1954;76,098;21,317;36,616
01/05/1954;57,998;15,568;23,959
01/06/1954;22,692;16,086;19,132
01/07/1954;37,644;23,395;28,527
01/08/1954;44,934;34,217;37,48
01/09/1954;48,794;38,523;43,175
01/10/1954;60,14;43,057;50,84
01/11/1954;87,237;59,065;68,366
01/12/1954;287,723;71,367;102,404
01/01/1955;233,488;107,303;157,954
01/02/1955;563,125;99,054;225,021
01/03/1955;141,638;73,716;109,647
01/04/1955;429,959;30,141;78,558
01/05/1955;78,514;30,938;50,396
01/06/1955;61,224;26,299;37,206
01/07/1955;43,057;30,141;33,745
01/08/1955;45,886;35,912;40,835
01/09/1955;59,065;45,886;50,783
01/10/1955;80,965;61,224;68,224
01/11/1955;572,447;76,098;223,913
01/12/1955;372,267;118,761;191,474
01/01/1956;247,249;82,202;135,879
01/02/1956;249,57;48,794;103,194
01/03/1956;173,181;71,367;112,089
01/04/1956;123,192;27,807;50,206
01/05/1956;74,902;22;35,261
01/06/1956;44,934;27,807;31,893
01/07/1956;35,912;27,807;31,218
01/08/1956;48,794;37,644;41,72
01/09/1956;73,716;46,846;54,539
01/10/1956;173,181;46,846;69,897
01/11/1956;99,054;59,065;70,094
01/12/1956;517,335;74,902;135,955
01/01/1957;295,089;74,902;125,912
01/02/1957;688,441;79,735;219,419
01/03/1957;715,23;37,644;153,889
01/04/1957;78,514;18,271;32,093
01/05/1957;56,94;16,086;27,256
01/06/1957;23,395;16,086;19,66
01/07/1957;34,217;23,395;28,509
01/08/1957;54,851;34,217;40,181
01/09/1957;56,94;40,31;47,684
01/10/1957;84,703;53,82;62,748
01/11/1957;171,45;61,224;89,816
01/12/1957;196,039;70,206;107,054
01/01/1958;458,448;82,202;143,297
01/02/1958;168,012;38,523;98,296
01/03/1958;112,967;33,383;55,977
01/04/1958;91,101;22;42,681
01/05/1958;30,938;17,708;22,024
01/06/1958;27,807;19,43;23,308
01/07/1958;30,938;26,299;28,363
